Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
25-11-2014,142.756558,85.46030893,109.6738921,121.2811715,92.77233377,98.57356286,23.76883809,38.67489701,85.400416,,81.82417752,178.2409384,88.58598398,138.9396623,32.17899682,95.64507714,54.07644755,85.75065932,51.94484654,43.25231695,46.28779166,26.16200695,77.3078335,93.88449703,101.598655,91.71079005,40.54082378,62.5333,76.06190054,62.73966296
26-11-2014,142.9823529,85.50705965,110.9795336,121.2541821,92.37937866,97.69094121,23.89517539,38.81852425,85.65200479,,81.56518561,177.9200556,89.21606674,139.102858,32.69286847,96.1022373,54.11231916,85.81254124,52.30375094,43.5074391,46.53043504,26.70293457,77.3774802,94.7377449,100.1889521,91.90751391,41.11598747,62.5333,76.08876172,63.35031297
28-11-2014,144.5900125,86.41402354,110.9142516,120.8763312,87.84729647,92.39521127,24.08250311,39.291814,86.20177288,,78.16375853,178.3825043,90.76844456,139.2918215,33.00296342,97.03448548,53.95089693,86.33872498,52.87274572,43.56210814,47.2393343,26.74586533,78.72688495,94.81036174,100.1161932,92.39463966,41.56790181,62.75935912,78.38091552,63.47984479
01-12-2014,142.846876,86.15221953,107.3144112,119.1040301,86.45012277,94.82242082,24.03893852,39.0464045,86.37881684,,79.72634305,178.1836809,90.29359958,138.7506989,32.93208458,96.83727913,53.8074105,85.42013302,52.97779091,44.30014009,46.47810019,26.84031301,78.42218065,94.80128464,99.76149379,92.79745518,41.10777085,62.74963615,77.19902372,62.70265387
02-12-2014,145.050634,86.95633185,106.9040667,119.0050691,86.89547188,96.76588582,24.23933562,39.03763987,87.09631079,,81.31482677,180.0677697,90.06530873,139.7212838,33.31305838,97.26754752,54.77594389,84.82260234,53.20538882,44.154356,46.64462015,27.10648374,79.28405852,94.76497622,99.75239893,93.518776,40.35184142,63.20175439,77.36019078,61.75892202
03-12-2014,146.5499121,85.32005679,108.1164482,118.7261791,87.48053837,96.50279667,24.35260354,38.38905762,86.76085907,,81.97093961,180.7873213,90.4598491,141.3102946,33.16244083,96.55939746,55.18846737,85.17041871,53.03031351,43.80811879,46.86347496,27.26103448,78.35253395,95.48206751,100.9438253,94.77874549,40.08890945,63.58824256,76.48272565,62.34181522
04-12-2014,146.5499121,85.86236509,107.7061037,118.1414097,87.03518925,95.28919189,24.19577103,38.12611887,86.87267631,,81.47022191,181.7340996,90.79016196,140.9065999,33.1890204,96.41597467,55.04498094,85.3131126,53.32794155,44.50059321,47.12514919,27.19234526,78.85747251,95.40037357,101.1439122,93.71624566,40.08069283,63.47642837,76.32064783,62.82293341
05-12-2014,146.5589439,86.62907684,107.2491291,118.9420939,86.25801138,94.09256061,23.96052227,38.15241274,87.36653578,,80.99540341,185.0478237,91.42326163,140.2366387,33.37507737,97.26754752,56.22874397,85.89280655,53.8269062,44.11790998,47.25836516,27.46710215,78.68335576,95.49114462,101.216671,94.33682078,39.94101021,64.01362262,75.74437111,63.47059252
08-12-2014,145.3486833,87.47993987,104.8243662,117.2057787,83.1754969,90.6384547,23.72527351,37.81059237,87.40380819,,79.16519391,186.1555544,92.14811487,139.0255548,32.95866414,97.27651144,56.20184026,82.59301023,54.16830307,43.45732582,46.49237333,27.44992984,79.01417757,96.57132011,102.817366,93.95131199,40.17929232,63.95285404,75.84341867,62.66564477
09-12-2014,145.2583653,87.292937,106.4284402,116.6479986,83.35014362,90.81667638,23.89081893,36.84648362,86.60245132,,78.88893587,186.4111845,91.42326163,139.9961397,32.68400861,96.85520698,56.00454643,81.47821417,52.53134885,43.36165501,46.16409112,27.43275754,78.97064839,95.82312961,104.5817684,94.98560386,38.55240073,64.20565133,75.24012898,63.46134025
